,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
63,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,6,1,237,2.6,0.38,0.00,0.38,0.38,0,0,0,0
64,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,18,14,"1,254",13.9,0.00,0.00,0.00,0.00,0,0,2,0
65,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,18,13,"1,029",11.4,0.35,0.17,0.52,0.35,0,0,3,0
66,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,31,22,"2,043",22.7,0.13,0.00,0.13,0.04,2,3,11,1
67,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,25,23,"2,047",22.7,0.04,0.04,0.09,0.04,0,0,9,0
68,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,27,1995,31,13,"1,311",14.6,0.00,0.07,0.07,0.00,0,0,13,1
69,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,6,4,406,4.5,0.00,0.00,0.00,0.00,0,0,1,0
70,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,35,26,"2,119",23.5,0.08,0.08,0.17,0.08,0,0,12,1
71,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,37,34,"2,923",32.5,0.06,0.28,0.34,0.06,0,0,5,0
72,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,1,0,15,0.2,0.00,0.00,0.00,0.00,0,0,0,0
73,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23,1999,26,11,"1,138",12.6,0.00,0.00,0.00,0.00,0,0,3,0
74,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,18,2004,19,5,587,6.5,0.15,0.31,0.46,0.15,0,0,1,0
